[INFO ][memory ][Mon Oct 15 09:07:31 2018][1539587251447][22283] [YC#25597] 1530199.807-1530199.970: YC 16862777KB->9000474KB (25165824KB), 0.163 s, sum of pauses 161.315 ms, longest pause 161.315 ms.
[INFO ][memory ][Mon Oct 15 09:07:12 2018][1539587232193][31471] [YC#26884] 1530181.577-1530181.777: YC 16054209KB->8329224KB (25165824KB), 0.200 s, sum of pauses 198.223 ms, longest pause 198.223 ms.
[INFO ][memory ][Mon Oct 15 09:07:08 2018][1539587228970][22283] [YC#25596] 1530177.408-1530177.555: YC 15761284KB->7907710KB (25165824KB), 0.146 s, sum of pauses 143.186 ms, longest pause 143.186 ms.
[INFO ][memory ][Mon Oct 15 09:07:05 2018][1539587225968][39702] [OC#12483] 1530175.115-1530175.566: OC 17386592KB->4364635KB (25165824KB), 0.452 s, sum of pauses 416.953 ms, longest pause 416.953 ms.
[INFO ][memory ][Mon Oct 15 09:06:51 2018][1539587211881][39702] [YC#25442] 1530160.531-1530160.691: YC 16526760KB->8807015KB (25165824KB), 0.161 s, sum of pauses 158.397 ms, longest pause 158.397 ms.
[INFO ][memory ][Mon Oct 15 09:06:50 2018][1539587210262][31471] [OC#11105] 1530158.499-1530159.079: OC 15412012KB->4405041KB (25165824KB), 0.580 s, sum of pauses 529.818 ms, longest pause 529.818 ms.
[INFO ][memory ][Mon Oct 15 09:06:49 2018][1539587209393][22283] [OC#11060] 1530157.358-1530158.031: OC 15191243KB->4120204KB (25165824KB), 0.674 s, sum of pauses 632.495 ms, longest pause 632.495 ms.
[INFO ][memory ][Mon Oct 15 09:06:06 2018][1539587166828][31471] [OC#11104] 1530115.259-1530115.764: OC 16467917KB->4360679KB (25165824KB), 0.504 s, sum of pauses 456.266 ms, longest pause 456.266 ms.
[INFO ][memory ][Mon Oct 15 09:06:05 2018][1539587165062][22283] [OC#11059] 1530112.501-1530112.995: OC 12897239KB->4051201KB (25165824KB), 0.494 s, sum of pauses 464.898 ms, longest pause 464.898 ms.
[INFO ][memory ][Mon Oct 15 09:06:05 2018][1539587165972][39702] [OC#12482] 1530114.363-1530114.908: OC 16266575KB->4401851KB (25165824KB), 0.546 s, sum of pauses 503.749 ms, longest pause 503.749 ms.
[INFO ][memory ][Mon Oct 15 09:05:46 2018][1539587146853][22283] [YC#25595] 1530094.676-1530094.836: YC 15877577KB->8058037KB (25165824KB), 0.160 s, sum of pauses 158.039 ms, longest pause 158.039 ms.
[INFO ][memory ][Mon Oct 15 09:05:40 2018][1539587140636][31471] [YC#26883] 1530089.440-1530089.644: YC 16664239KB->8914759KB (25165824KB), 0.204 s, sum of pauses 201.619 ms, longest pause 201.619 ms.
[INFO ][memory ][Mon Oct 15 09:04:09 2018][1539587049772][39702] [OC#12481] 1529998.519-1529999.028: OC 15896524KB->4316786KB (25165824KB), 0.509 s, sum of pauses 466.695 ms, longest pause 466.695 ms.
[INFO ][memory ][Mon Oct 15 09:03:29 2018][1539587009046][31471] [OC#11103] 1529957.796-1529958.416: OC 15414106KB->4353587KB (25165824KB), 0.620 s, sum of pauses 574.074 ms, longest pause 574.074 ms.
[INFO ][memory ][Mon Oct 15 09:03:28 2018][1539587008766][22283] [OC#11058] 1529956.526-1529957.129: OC 15498063KB->4082062KB (25165824KB), 0.603 s, sum of pauses 562.899 ms, longest pause 562.899 ms.
[INFO ][memory ][Mon Oct 15 09:02:50 2018][1539586970634][39702] [YC#25441] 1529919.936-1529920.107: YC 16804822KB->9066974KB (25165824KB), 0.171 s, sum of pauses 169.489 ms, longest pause 169.489 ms.
[INFO ][memory ][Mon Oct 15 09:02:00 2018][1539586920609][31471] [YC#26882] 1529869.200-1529869.394: YC 17077774KB->9345227KB (25165824KB), 0.194 s, sum of pauses 191.926 ms, longest pause 191.926 ms.
[INFO ][memory ][Mon Oct 15 09:01:29 2018][1539586889238][22283] [YC#25594] 1529836.969-1529837.103: YC 15460772KB->7634974KB (25165824KB), 0.134 s, sum of pauses 131.505 ms, longest pause 131.505 ms.
[INFO ][memory ][Mon Oct 15 09:01:21 2018][1539586881610][39702] [YC#25440] 1529830.359-1529830.501: YC 15606832KB->7875421KB (25165824KB), 0.142 s, sum of pauses 139.867 ms, longest pause 139.867 ms.
[INFO ][memory ][Mon Oct 15 09:00:59 2018][1539586859154][31471] [YC#26881] 1529807.921-1529808.107: YC 16322272KB->8576468KB (25165824KB), 0.186 s, sum of pauses 184.507 ms, longest pause 184.507 ms.
[INFO ][memory ][Mon Oct 15 09:00:48 2018][1539586848309][39702] [OC#12480] 1529796.783-1529797.292: OC 16786991KB->4376517KB (25165824KB), 0.510 s, sum of pauses 468.489 ms, longest pause 468.489 ms.
[INFO ][memory ][Mon Oct 15 09:00:45 2018][1539586845876][22283] [OC#11057] 1529793.252-1529793.859: OC 16404637KB->4045428KB (25165824KB), 0.608 s, sum of pauses 564.486 ms, longest pause 564.486 ms.
[INFO ][memory ][Mon Oct 15 09:00:37 2018][1539586837456][31471] [YC#26880] 1529786.293-1529786.470: YC 15557218KB->7827824KB (25165824KB), 0.176 s, sum of pauses 174.421 ms, longest pause 174.421 ms.
[INFO ][memory ][Mon Oct 15 09:00:32 2018][1539586832874][22283] [YC#25593] 1529780.753-1529780.894: YC 16352765KB->8503501KB (25165824KB), 0.140 s, sum of pauses 138.615 ms, longest pause 138.615 ms.
[INFO ][memory ][Mon Oct 15 09:00:32 2018][1539586832728][39702] [YC#25439] 1529781.609-1529781.754: YC 16497157KB->8740685KB (25165824KB), 0.145 s, sum of pauses 143.313 ms, longest pause 143.313 ms.
[INFO ][memory ][Mon Oct 15 09:00:23 2018][1539586823460][31471] [OC#11102] 1529771.953-1529772.512: OC 15995205KB->4317988KB (25165824KB), 0.559 s, sum of pauses 512.849 ms, longest pause 512.849 ms.
[INFO ][memory ][Mon Oct 15 09:00:19 2018][1539586819277][39702] [YC#25438] 1529768.189-1529768.340: YC 15659691KB->7913715KB (25165824KB), 0.151 s, sum of pauses 148.997 ms, longest pause 148.997 ms.
[INFO ][memory ][Mon Oct 15 09:00:16 2018][1539586816814][22283] [YC#25592] 1529764.716-1529764.878: YC 15496993KB->7656817KB (25165824KB), 0.162 s, sum of pauses 160.146 ms, longest pause 160.146 ms.
[INFO ][memory ][Mon Oct 15 08:59:57 2018][1539586797183][31471] [YC#26879] 1529746.130-1529746.308: YC 15632195KB->7911440KB (25165824KB), 0.178 s, sum of pauses 174.448 ms, longest pause 174.448 ms.
